date,temperature_2m_mean,precipitation_sum
2020-06-06,19.7,7.7
2020-06-07,20.3,6.1
2020-06-08,21.3,3.7
2020-06-09,20.6,9.7
2020-06-10,19.2,23.7
2020-06-11,19.4,3.1
2020-06-12,18.8,27.8
2020-06-13,19.0,13.2
2020-06-14,19.6,18.3
2020-06-15,20.1,14.5
2020-06-16,19.8,23.7
2020-06-17,20.0,11.6
2020-06-18,20.7,2.6
2020-06-19,20.6,6.3
2020-06-20,19.1,28.1
2020-06-21,20.5,9.0
2020-06-22,21.3,0.5
2020-06-23,21.0,3.4
2020-06-24,20.9,3.3
2020-06-25,20.6,0.2
2020-06-26,19.9,2.8
2020-06-27,19.6,14.9
2020-06-28,19.8,17.7
2020-06-29,19.6,14.6
2020-06-30,19.7,1.3
2020-07-01,19.2,9.7
2020-07-02,19.7,21.7
2020-07-03,19.7,22.9
2020-07-04,20.1,1.0
2020-07-05,19.5,14.2
2020-07-06,20.9,1.6
2020-07-07,19.8,1.0
2020-07-08,20.0,0.9
2020-07-09,19.1,8.4
2020-07-10,19.4,38.1
2020-07-11,19.9,0.9
2020-07-12,19.7,9.2
2020-07-13,20.2,1.8
